hash	dist	omega	phi1	phi2	psi1	psi2	ids	idcount	id_unique
7696581525762	7	0	0	2	1	2	1:1,2:2,3:3	6	3
4402375033601	4	1	2	0	3	1	3:2	2	1
8800421544704	8	1	2	0	3	0	3:1,0:1	2	2
5506148074243	5	2	0	0	3	3	2:8,3:2,0:2,1:4	16	4
4398046642690	4	0	0	2	2	2	2:2,3:2,0:2	6	3
9899899683329	9	1	0	1	2	1	0:1	1	1
5497558204672	5	0	0	1	1	0	2:1,0:1	2	2
9904228270593	9	2	2	2	2	1	3:1,1:1	2	2
5506181627907	5	2	2	0	0	3	3:1	1	1
7700893270273	7	1	1	2	1	1	2:1,1:1	2	2
3298534949122	3	0	0	1	1	2	1:3,3:1,2:2,0:1	7	4
10995116409602	10	0	0	2	3	2	3:1,1:2,2:1	4	3
9899899683075	9	1	0	1	1	3	1:1	1	1
4406636577282	4	2	0	2	2	2	3:1,1:1,0:1,2:1	4	4
7696581460994	7	0	0	1	4	2	1:1,2:1	2	2
4406653223683	4	2	1	0	3	3	2:1	1	1
10999444800003	10	1	2	0	2	3	0:1,2:1	2	2
8796093088515	8	0	0	1	3	3	1:1,2:1	2	2
9899916395267	9	1	1	0	3	3	2:1	1	1
8796109931266	8	0	1	2	3	2	3:3,2:3	6	2
4398046642949	4	0	0	2	3	5	1:1	1	1
7705171394819	7	2	0	1	1	3	1:1,2:2	3	2
10995133186563	10	0	1	2	2	3	2:1,3:1	2	2
6605693255683	6	2	2	0	0	3	2:1	1	1
7705171329537	7	2	0	0	2	1	2:1,0:3,3:5,1:3	12	4
7696615081218	7	0	2	2	5	2	2:1	1	1
4402375098624	4	1	2	1	1	0	2:1	1	1
9895604716804	9	0	0	1	5	4	0:1	1	1
4398063288832	4	0	1	0	2	0	1:16,3:4,2:13,0:10	43	4
8800388056066	8	1	0	1	4	2	0:1	1	1
4406636511746	4	2	0	1	2	2	0:1	1	1
5501853106435	5	1	0	0	1	3	1:2,3:1,2:1	4	3
7696581460997	7	0	0	1	4	5	2:1	1	1
10995149832453	10	0	2	0	1	5	2:1	1	1
7696615080452	7	0	2	2	2	4	2:1,0:1	2	2
7705171460869	7	2	0	2	3	5	2:1,0:1	2	2
4398046577411	4	0	0	1	3	3	2:1,3:1	2	2
5506148139524	5	2	0	1	2	4	0:2,1:1,3:2	5	3
9899933171969	9	1	2	0	1	1	3:1,2:1	2	2
7696615015683	7	0	2	1	5	3	2:1	1	1
6601364800257	6	1	0	1	3	1	0:1,1:1,2:3	5	3
9904228270339	9	2	2	2	1	3	2:2,0:1,3:1,1:1	5	4
6597103321348	6	0	2	0	1	4	1:2,3:1	3	2
4398063288580	4	0	1	0	1	4	3:1	1	1
8796126642946	8	0	2	1	3	2	1:1	1	1
8796109865216	8	0	1	1	1	0	3:1	1	1
9895604651009	9	0	0	0	4	1	1:3,0:3,2:8	14	3
10995116343810	10	0	0	1	2	2	0:2,2:2,3:2	6	3
9899899617795	9	1	0	0	2	3	3:2,2:1	3	2
10995116278784	10	0	0	0	4	0	3:1	1	1
7696581526016	7	0	0	2	2	0	2:2,3:1	3	2
8796126642433	8	0	2	1	1	1	2:2,3:2	4	2
7700910047492	7	1	2	2	1	4	0:1,1:1	2	2
5497558270722	5	0	0	2	3	2	1:2,0:1,3:1,2:2	6	4
11003739898372	10	2	2	2	2	4	1:1,2:1	2	2
4402341478659	4	1	0	0	1	3	2:1	1	1
5501886660866	5	1	2	0	1	2	2:1	1	1
6601364865540	6	1	0	2	2	4	2:1	1	1
7696581526272	7	0	0	2	3	0	2:1,1:1	2	2
9904211493634	9	2	1	2	3	2	2:2	2	1
11003706212864	10	2	0	0	2	0	2:1,0:1	2	2
7705171395844	7	2	0	1	5	4	1:1	1	1
9895604716547	9	0	0	1	4	3	1:1	1	1
4406670001154	4	2	2	0	4	2	2:1,3:1,1:1	3	3
8804699800067	8	2	1	1	2	3	1:1	1	1
4406636446720	4	2	0	0	4	0	0:1	1	1
6597086544897	6	0	1	0	4	1	2:2,1:2,0:1	5	3
6597086675716	6	0	1	2	3	4	0:1	1	1
10995149964289	10	0	2	2	4	1	1:1	1	1
3307124818690	3	2	0	0	3	2	1:2,2:2,0:2	6	3
3298551792131	3	0	1	2	2	3	3:1,0:1,1:1	3	3
9895604781825	9	0	0	2	3	1	1:2,2:2	4	2
10999428022784	10	1	1	0	2	0	2:1	1	1
11003739767300	10	2	2	0	2	4	3:1	1	1
4398063289345	4	0	1	0	4	1	3:1	1	1
5497591824644	5	0	2	2	1	4	3:1,0:1,1:1	3	3
2199040164867	2	0	1	2	4	3	3:1	1	1
8796126708228	8	0	2	2	2	4	2:2,3:2	4	2
7696598237953	7	0	1	1	3	1	1:1	1	1
10995116279042	10	0	0	0	5	2	2:1,1:1,3:1	3	3
8800388121090	8	1	0	2	2	2	2:1,1:2,0:1	4	3
4406636577794	4	2	0	2	4	2	1:1	1	1
4406636577796	4	2	0	2	4	4	2:1,3:2	3	2
8796093087747	8	0	0	1	0	3	3:1	1	1
11003706343681	10	2	0	2	1	1	2:1	1	1
9895604716036	9	0	0	1	2	4	1:1	1	1
8800421544195	8	1	2	0	1	3	1:1	1	1
9899933237505	9	1	2	1	1	1	2:1	1	1
2199056810242	2	0	2	0	1	2	0:1	1	1
10999444800002	10	1	2	0	2	2	2:2	2	1
3307124818436	3	2	0	0	2	4	2:2,3:4,0:1	7	3
5506148205058	5	2	0	2	2	2	1:3	3	1
8804716512003	8	2	2	0	3	3	2:1	1	1
7700893271044	7	1	1	2	4	4	3:1	1	1
4406670066434	4	2	2	1	3	2	0:1	1	1
6605676479234	6	2	1	0	3	2	0:1,1:3	4	2
6605659767809	6	2	0	1	4	1	0:2	2	1
8800421544453	8	1	2	0	2	5	0:1	1	1
7696598237441	7	0	1	1	1	1	1:2	2	1
4398046512133	4	0	0	0	4	5	1:1	1	1
6597069767684	6	0	0	0	4	4	2:2,1:4,0:2	8	3
10995116278276	10	0	0	0	2	4	1:1,0:1,2:1	3	3
7696614949637	7	0	2	0	3	5	1:1	1	1
8804699865346	8	2	1	2	1	2	2:1	1	1
8800404766978	8	1	1	0	1	2	3:2,0:1,1:3	6	3
4398046511876	4	0	0	0	3	4	3:5,0:3,1:1	9	3
7700909982465	7	1	2	1	3	1	1:2,2:4,3:1	7	3
8800421609985	8	1	2	1	2	1	2:1,1:1	2	2
5506148074500	5	2	0	0	4	4	1:2	2	1
5506181759745	5	2	2	2	3	1	0:2,1:2,2:4,3:4	12	4
8804683023106	8	2	0	1	3	2	1:3	3	1
7705171395075	7	2	0	1	2	3	2:4,3:1,1:1	6	3
9895604781312	9	0	0	2	1	0	2:1,1:1	2	2
9904194585092	9	2	0	0	2	4	2:3	3	1
3298551660802	3	0	1	0	1	2	2:2,1:1	3	2
4402341609987	4	1	0	2	2	3	1:1	1	1
8800388121601	8	1	0	2	4	1	2:1	1	1
6605676478980	6	2	1	0	2	4	1:2,2:1	3	2
9904228270849	9	2	2	2	3	1	2:2,0:1,3:1,1:1	5	4
9899933172995	9	1	2	0	5	3	2:1	1	1
11003706212869	10	2	0	0	2	5	2:1	1	1
3307158504193	3	2	2	2	3	1	3:1	1	1
2207630099203	2	2	1	2	3	3	3:1	1	1
3298534949378	3	0	0	1	2	2	0:1,2:3	4	2
8796126577156	8	0	2	0	2	4	1:2,2:1	3	2
5497558205441	5	0	0	1	4	1	1:1,2:2	3	2
6601398355201	6	1	2	1	5	1	2:1	1	1
7705188238084	7	2	1	2	3	4	1:1	1	1
7696615015170	7	0	2	1	3	2	0:2,1:4	6	2
5501886661379	5	1	2	0	3	3	1:4,3:1	5	2
11003706343683	10	2	0	2	1	3	2:2	2	1
3307141726978	3	2	1	2	3	2	2:1	1	1
9904211492865	9	2	1	2	0	1	1:1	1	1
9904194650627	9	2	0	1	2	3	1:1,3:1	2	2
8800388121092	8	1	0	2	2	4	3:1,1:1	2	2
6597103322117	6	0	2	0	4	5	2:1	1	1
5506148204547	5	2	0	2	0	3	3:1	1	1
7705204884484	7	2	2	0	4	4	0:1,3:1	2	2
7700909982466	7	1	2	1	3	2	3:1	1	1
5497558139136	5	0	0	0	1	0	3:1,1:1	2	2
8796109799937	8	0	1	0	2	1	0:1,2:3,1:1	5	3
8800388121346	8	1	0	2	3	2	1:1	1	1
2199023387137	2	0	0	2	2	1	0:1	1	1
6597103321346	6	0	2	0	1	2	0:1,2:4,1:1,3:3	9	4
7705171395328	7	2	0	1	3	0	1:1	1	1
5497558139138	5	0	0	0	1	2	3:1,0:1,1:1,2:3	6	4
6605693321732	6	2	2	1	2	4	2:1	1	1
7700876493313	7	1	0	2	2	1	3:1	1	1
7705188106498	7	2	1	0	1	2	1:1	1	1
6597086675458	6	0	1	2	2	2	2:4	4	1
7696581460226	7	0	0	1	1	2	2:2,3:2	4	2
11003706343937	10	2	0	2	2	1	2:2,0:1,1:1,3:2	6	4
7700909916419	7	1	2	0	1	3	1:1	1	1
4402358386689	4	1	1	2	0	1	2:1	1	1
6597069898243	6	0	0	2	2	3	1:7,3:2,0:3,2:8	20	4
8800421675520	8	1	2	2	2	0	0:1	1	1
8796109799681	8	0	1	0	1	1	1:1,2:2,0:2	5	3
5506148074498	5	2	0	0	4	2	2:1,1:3	4	2
6601364734465	6	1	0	0	2	1	0:1,2:2	3	2
7700909981954	7	1	2	1	1	2	2:2	2	1
5501886661635	5	1	2	0	4	3	0:1	1	1
3302846628866	3	1	1	0	4	2	1:1	1	1
5497574916866	5	0	1	0	3	2	2:1,0:1,1:1,3:1	4	4
7700876427523	7	1	0	1	1	3	3:1	1	1
9904194716674	9	2	0	2	4	2	1:2,0:1,3:1,2:1	5	4
5497558204674	5	0	0	1	1	2	2:1,0:1	2	2
6601398354177	6	1	2	1	1	1	1:1	1	1
4402358256131	4	1	1	0	2	3	0:1	1	1
11003723120897	10	2	1	2	1	1	2:2	2	1
7696598237443	7	0	1	1	1	3	1:1	1	1
